threshold_distribution,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
uniform,1e-05,50,25.0,3,12,0.615,13.0,True,0.056999999999999995
uniform_min_1_over_k,1e-05,50,25.0,3,12,0.45,,False,0.03599999999999999
uniform,1e-05,50,25.0,3,13,0.444,,False,0.051
uniform_min_1_over_k,1e-05,50,25.0,3,13,0.637,13.0,True,0.04899999999999999
uniform,1e-05,50,25.0,3,14,0.719,10.0,True,0.054000000000000006
uniform_min_1_over_k,1e-05,50,25.0,3,14,0.91,12.0,True,0.051000000000000004
uniform,1e-05,50,25.0,3,15,0.757,15.0,True,0.045000000000000005
uniform_min_1_over_k,1e-05,50,25.0,3,15,0.495,,False,0.045999999999999985
uniform,1e-05,50,25.0,3,16,0.389,,False,0.055
uniform_min_1_over_k,1e-05,50,25.0,3,16,0.807,9.0,True,0.06699999999999995
uniform,1e-05,50,25.0,3,17,0.483,,False,0.056999999999999995
uniform_min_1_over_k,1e-05,50,25.0,3,17,0.374,,False,0.02500000000000001
uniform,1e-05,50,25.0,3,18,0.663,14.0,True,0.055
uniform_min_1_over_k,1e-05,50,25.0,3,18,0.478,,False,0.039
uniform,1e-05,50,25.0,3,19,0.691,14.0,True,0.04300000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,19,0.637,19.0,True,0.04400000000000001
uniform,1e-05,50,25.0,3,20,0.482,,False,0.04700000000000001
uniform_min_1_over_k,1e-05,50,25.0,3,20,0.534,21.0,True,0.038
uniform,1e-05,50,25.0,3,21,0.601,17.0,True,0.054
